,parity_mode,max_altitude,temperature
Ctenoblepharys_adspersa,O,750,23.05
Liolaemus_abaucan,O,2600,20.2
Liolaemus_albiceps,V,4020,12.38
Liolaemus_andinus,V,4900,11.4
Liolaemus_annectens,V,4688,5.1
Liolaemus_anomalus,O,1400,23.78
Liolaemus_archeforus,V,1500,13.06
Liolaemus_audituvelatus,V,3459,14.18
Liolaemus_avilai,V,1400,10.23
Liolaemus_azarai,O,243,26.19
Liolaemus_baguali,V,1200,11.78
Liolaemus_boulengeri,O,1600,15.66
Liolaemus_calchaqui,V,3600,12.27
Liolaemus_canqueli,O,1000,18.38
Liolaemus_chacabucoense,V,500,12.55
Liolaemus_chacoensis,O,800,24.76
Liolaemus_chehuachekenk,O,900,16.85
Liolaemus_crepuscularis,V,3100,14.68
Liolaemus_cuyanus,O,1300,24.74
Liolaemus_cuyumhue,O,260,22.97
Liolaemus_darwinii,O,3000,22.09
Liolaemus_donosobarrosi,O,1200,18.83
Liolaemus_dorbignyi,V,4350,14.2
Liolaemus_eleodori,V,2500,6.53
Liolaemus_escarchadosi,V,1100,4.48
Liolaemus_espinozai,V,2800,19.59
Liolaemus_etheridgei,V,4269,14.54
Liolaemus_fabiani,V,3000,16.7
Liolaemus_famatinae,V,4200,12.17
Liolaemus_fitzingerii,O,1100,16.5
Liolaemus_gallardoi,V,1300,12.9
Liolaemus_goetschi,O,700,20.2
Liolaemus_grosseorum,O,1500,20.8
Liolaemus_hatcheri,V,1500,11.11
Liolaemus_hermannunezi,O,1521,13.33
Liolaemus_huacahuasicus,V,4250,13.4
Liolaemus_inacayali,O,1100,16.96
Liolaemus_insolitus,V,264,22.52
Liolaemus_irregularis,V,5000,13.89
Liolaemus_josei,O,2500,15.6
Liolaemus_kingii,V,500,15.36
Liolaemus_kolengh,V,1700,10.55
Liolaemus_koslowskyi,O,1600,22.65
Liolaemus_laurenti,O,1100,24.92
Liolaemus_lavillai,V,4100,12.94
Liolaemus_lentus,O,600,24.12
Liolaemus_lineomaculatus,V,618,10.94
Liolaemus_loboi,O,800,14.85
Liolaemus_lutzae,O,20,25.95
Liolaemus_magellanicus,V,190,11.22
Liolaemus_mapuche,O,650,21.86
Liolaemus_martorii,O,50,21.8
Liolaemus_melanogaster,V,4660,5.8
Liolaemus_melanops,O,800,18.83
Liolaemus_molinai,V,4500,9.12
Liolaemus_morandae,V,900,14.72
Liolaemus_morenoi,O,650,18.65
Liolaemus_multicolor,V,4400,11.99
Liolaemus_multimaculatus,O,50,20.43
Liolaemus_occipitalis,O,200,23.47
Liolaemus_olongasta,O,1770,22.12
Liolaemus_orientalis,V,5000,8.4
Liolaemus_ornatus,V,4500,13.13
Liolaemus_ortizii,V,4250,9.08
Liolaemus_poconchilensis,V,1300,20.46
Liolaemus_poecilochromis,V,4500,21.95
Liolaemus_polystictus,V,4766,4.25
Liolaemus_pseudoanomalus,O,1500,23.67
Liolaemus_puelche,O,1600,16.48
Liolaemus_quilmes,O,2200,18.93
Liolaemus_riojanus,O,1200,25.27
Liolaemus_robustus,V,4657,7.04
Liolaemus_rothi,O,1800,14.44
Liolaemus_ruibali,V,3500,11.73
Liolaemus_sagei,O,1300,15.26
Liolaemus_salinicola,O,950,21.03
Liolaemus_sarmientoi,V,200,11.43
Liolaemus_scapularis,O,2400,20.75
Liolaemus_senguer,O,800,15.51
Liolaemus_signifer,V,4500,10.38
Liolaemus_silvanae,V,1500,8.3
Liolaemus_sitesi,O,1560,16.28
Liolaemus_somuncurae,V,1600,15.47
Liolaemus_stolzmanni,V,1118,19.28
Liolaemus_tari,V,720,12.03
Liolaemus_tehuelche,O,1200,14.84
Liolaemus_telsen,O,1425,18.6
Liolaemus_thomasi,V,4777,6.37
Liolaemus_torresi,V,2500,15.9
Liolaemus_tristis,V,1000,14.34
Liolaemus_tromen,O,2200,14.81
Liolaemus_uptoni,V,1200,14.46
Liolaemus_uspallatensis,O,2700,14.01
Liolaemus_vallecurensis,V,3815,6.55
Liolaemus_wiegmannii,O,2000,22.06
Liolaemus_williamsi,V,4143,6.6
Liolaemus_xanthoviridis,V,300,18.35
Liolaemus_zullyae,V,1400,12.81
Liolaemus_abdalai,O,1000,13.52
Liolaemus_alticolor,V,4800,8.9
Liolaemus_antumalguen,V,3600,11.41
Liolaemus_araucaniensis,V,1700,12.78
Liolaemus_atacamensis,O,2800,18.55
Liolaemus_austromendocinus,V,2310,16.75
Liolaemus_bellii,V,3053,10.4
Liolaemus_bibronii,O,500,15.16
Liolaemus_bibronii_12,O,1500,17.04
Liolaemus_bibronii_3,O,1100,15.64
Liolaemus_bibronii_8,O,2600,16.54
Liolaemus_bibronii_9,O,2000,14.17
Liolaemus_bitaeniatus,O,3100,17.8
Liolaemus_buergeri,V,3000,12.68
Liolaemus_burmeisteri,V,1037,18.85
Liolaemus_capillitas,V,3900,16.38
Liolaemus_carlosgarini,V,1915,12.78
Liolaemus_cf._elongatus,V,1888,14.3
Liolaemus_chaltin,O,3750,14.75
Liolaemus_chiliensis,O,2100,15.11
Liolaemus_chillanensis,V,1700,9.92
Liolaemus_choique,V,2407,15.8
Liolaemus_chungara,V,4583,6.47
Liolaemus_coeruleus,O,2000,11.33
Liolaemus_confusus,O,850,17.52
Liolaemus_constanzae,O,3900,15.04
Liolaemus_crandalli,V,2100,15.72
Liolaemus_cristiani,V,2500,11.15
Liolaemus_curicensis,O,2100,14.28
Liolaemus_curis,V,3000,14.4
Liolaemus_cyanogaster,V,1200,14.37
Liolaemus_dicktracyi,V,2800,14
Liolaemus_elongatus,V,2000,14.3
Liolaemus_fitzgeraldi,V,3500,7.11
Liolaemus_flavipiceus,V,2500,11.4
Liolaemus_frassinettii,V,2270,17
Liolaemus_fuscus,O,1900,18.45
Liolaemus_gracilis,O,1380,19.64
Liolaemus_gravenhorstii,V,1300,16.64
Liolaemus_gununakuna,V,900,17.52
Liolaemus_heliodermis,V,2820,7.13
Liolaemus_hellmichi,O,1400,18.98
Liolaemus_incaicus,V,3550,12.99
Liolaemus_isabelae,V,4000,11.48
Liolaemus_janequeoae,V,1450,12.7
Liolaemus_kriegi,V,2000,13.88
Liolaemus_leftrarui,V,1397,12.7
Liolaemus_lemniscatus,O,2100,18.58
Liolaemus_leopardinus,V,3053,6.83
Liolaemus_lorenzmuelleri,O,3500,8.13
Liolaemus_maldonadae,V,3500,7.96
Liolaemus_melaniceps,O,30,21.6
Liolaemus_monticola,O,2500,16.25
Liolaemus_monticola_ssp.,V,1800,9.92
Liolaemus_moradoensis,V,4000,7.46
Liolaemus_neuquensis,V,2200,14.14
Liolaemus_nigrocoeruleus,O,350,19
Liolaemus_nigromaculatus,O,720,19.01
Liolaemus_nigroviridis,V,2400,12.29
Liolaemus_nitidus,O,3150,15.84
Liolaemus_pagaburoi,V,4700,9.84
Liolaemus_parvus,V,3500,11.42
Liolaemus_paulinae,V,2600,12.01
Liolaemus_petrophilus,V,1400,17.02
Liolaemus_pictus,V,1700,13.12
Liolaemus_platei,O,1100,18.55
Liolaemus_pseudolemniscatus,O,2000,18.85
Liolaemus_puna,V,4300,11.33
Liolaemus_punmahuida,V,3000,11.65
Liolaemus_ramirezae,O,3200,15.97
Liolaemus_ramonensis,V,3050,11.51
Liolaemus_riodamas,V,2057,10.77
Liolaemus_robertmertensi,O,2600,24.99
Liolaemus_saxatilis,O,1000,20.84
Liolaemus_schroederi,V,2600,13.88
Liolaemus_scorialis,V,1750,11.84
Liolaemus_septentrionalis,V,2200,14.03
Liolaemus_silvai,O,450,18.67
Liolaemus_smaug,V,1700,12.28
Liolaemus_sp._MM6,V,1800,12.14
Liolaemus_sp._MM7,V,1500,11.76
Liolaemus_sp._MMB,V,900,16.11
Liolaemus_sp._MMC,V,1600,12.34
Liolaemus_sp._MMD,V,2700,10.37
Liolaemus_talampaya,V,1200,20.97
Liolaemus_tenuis,O,1800,16.32
Liolaemus_tregenzai,V,2170,10.4
Liolaemus_tulkas,V,3000,14.88
Liolaemus_ubaghsi,V,2250,11.5
Liolaemus_umbrifer,V,3965,14.24
Liolaemus_uniformis,V,3050,6.55
Liolaemus_valdesianus,V,2510,12.83
Liolaemus_velosoi,O,3500,19.34
Liolaemus_villaricensis,V,1500,9.67
Liolaemus_yanalcu,O,4305,10.76
Liolaemus_zabalai,V,1600,12.77
Liolaemus_zapallarensis,O,700,18.89
Liolaemus_chavin,V,4450,6.27
Liolaemus_pachacutec,V,4972,8.7
Liolaemus_tacnae,V,4500,11.12
Liolaemus_walkeri,V,4211,9.61
Liolaemus_wari,V,4246,7.83
Phymaturus_aguedae,V,2716,11.02
Phymaturus_antofagastensis,V,4200,3.08
Phymaturus_bibronii,V,3200,6.22
Phymaturus_calcogaster,V,770,18.49
Phymaturus_ceii,V,1150,16.85
Phymaturus_cf._palluma,V,2418,10.79
Phymaturus_damasense,V,2000,13.88
Phymaturus_delheyi,V,1860,14.33
Phymaturus_denotatus,V,3825,14.75
Phymaturus_dorsimaculatus,V,2050,11.76
Phymaturus_etheridgei,V,818,15.07
Phymaturus_excelsus,V,1150,14.78
Phymaturus_extrilidus,V,3200,9.7
Phymaturus_felixi,V,600,16.77
Phymaturus_indistinctus,V,800,15.76
Phymaturus_laurenti,V,4500,14.15
Phymaturus_mallimaccii,V,4200,12.38
Phymaturus_manuelae,V,950,14.8
Phymaturus_nevadoi,V,1800,15.5
Phymaturus_palluma,V,2200,12.32
Phymaturus_patagonicus,V,500,17.43
Phymaturus_payuniae,V,1500,15.9
Phymaturus_punae,V,4300,4.13
Phymaturus_querque,V,1100,15.07
Phymaturus_roigorum,V,2300,14.26
Phymaturus_sitesi,V,2100,15.8
Phymaturus_somuncurensis,V,1400,15.8
Phymaturus_sp._1,V,2150,11.57
Phymaturus_sp._10,V,2700,13.13
Phymaturus_sp._11,V,1500,15.06
Phymaturus_sp._12,V,2150,13.47
Phymaturus_sp._13,V,1200,13.75
Phymaturus_sp._14,V,500,17.83
Phymaturus_sp._15,V,1000,16.1
Phymaturus_sp._16,V,1300,15.15
Phymaturus_sp._17,V,1700,16.2
Phymaturus_sp._18,V,1100,14.23
Phymaturus_sp._19,V,1200,16.02
Phymaturus_sp._2,V,2200,13.63
Phymaturus_sp._20,V,1100,16.4
Phymaturus_sp._21,V,1200,18.42
Phymaturus_sp._22,V,1100,16.45
Phymaturus_sp._3,V,1600,15.4
Phymaturus_sp._4,V,1700,15.82
Phymaturus_sp._5,V,1800,14.97
Phymaturus_sp._6,V,2100,9.91
Phymaturus_sp._7,V,1400,13.5
Phymaturus_sp._8,V,2400,5.42
Phymaturus_sp._9,V,1900,12.79
Phymaturus_spectabilis,V,1000,14.87
Phymaturus_spurcus,V,1200,14.08
Phymaturus_tenebrosus,V,1300,14.29
Phymaturus_tromen,V,1900,13.32
Phymaturus_verdugo,V,2800,11.15
Phymaturus_videlai,V,700,15.4
Phymaturus_vociferator,V,1400,13.2
Phymaturus_williamsi,V,3000,9.17
Phymaturus_zapalensis,V,1350,14.35
